rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,len,seq,sysid,compid,msgid,fromlcm,payload64
1408109376224102058,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109376224115528,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109376311968494,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109376383864793,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109376384026164,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109376414689311,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109376756934607,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109376763924877,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109376764043004,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109376867821295,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109376867983590,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109377267996519,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109377411041447,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109377923409055,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109378334586735,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109378471383869,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109378951806985,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109379343859818,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109379363024118,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109379980300289,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109380372120100,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109380410242246,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109381017644690,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109381462424031,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109381519765580,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109382138160824,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109382350059882,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109382582101408,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109383344113790,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109383693545086,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109384195618025,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109384395602707,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109384706863125,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109385376034118,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109385435834990,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109385843089999,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109386406690455,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109386454480234,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109386873667907,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109387428728153,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109387434931742,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109387935098454,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109388477034979,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109388483298694,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109389035535323,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109389550387309,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109389557606544,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109390064965910,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109390613982610,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109390619926745,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109391197252528,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109391448040461,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109391713607574,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109392272622973,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109392745931648,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109393305028110,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109393471905711,100,100,100,100,100,100,100,100,100,100,100,100,100
