rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,level,name,msg,file,function,line,topics
1408109375758712276,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109375758741322,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109376224229619,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109376224332951,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109376311853429,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109376312004109,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109376312015834,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109376312045271,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109376312163274,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109376312224228,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109376384076916,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109376384140435,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109376414770479,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109376756918097,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109376756956366,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109376757275485,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109376757282892,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109376757288042,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109376757337835,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109376764227381,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109376764237574,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109376868017998,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109376868157844,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109377268122026,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109377268159659,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109377268238153,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109377268309490,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109377411162633,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109377411234792,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109377923416744,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109377923525910,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109377923757293,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109377923765090,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109377923770191,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109377923775064,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109378334594767,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109378334805694,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109378334813493,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109378334862170,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109378471483291,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109378471520295,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109378471677044,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109378951741217,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109378951848997,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109378951856420,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109378951979542,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109378952160803,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109379344095263,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109379363071532,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109379363122358,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109379363421953,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109379363428058,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109379363435377,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109379363439717,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109379980316210,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109379980343500,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109379980401947,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109379980629421,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109379980632518,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109380372260608,100,100,100,100,100,100,100,100,100,100,100,100,100
1408109380372367465,100,100,100,100,100,100,100,100,100,100,100,100,100
